id;course_id;course_name;description;is_active;department;degree_type;is_core;specialization;start_date_of_enrollment;last_date_of_enrollment;start_date_of_course;last_date_of_course;last_date_of_course_drop;waiting_list;number_of_enrollments;is_enrollment_restricted;teacher_id;grader_id;class_room_number
1;"z\ddd";FSS;Peru Innovative Jamaica;false;98425;BACHELORS;false;COMPUTERSCIENCE;"04-02-\dd";"03-2\d-\dd";"02-31-\dd";"09-31-\dd";"10-09-\dd";95612;84506;true;ba186a3d-4629-40df-b36c-e67540835d73;eb23d8af-11d1-43e2-a804-641a146b17fa;auxiliary Account open-source
2;"A\ddd";ADVANCEOPERATINGSYSTEMS;Prairie moratorium Buckinghamshire;false;34603;BACHELORS;true;BUINESSANALYTICS;"12-30-\dd";"07-2\d-\dd";"02-03-\dd";"08-1\d-\dd";"02-31-\dd";84953;28142;true;ce9cc1d1-928f-4f9a-b01a-25a0bc49deb5;1bf05e61-3522-4ccb-8fcb-ef07ab0a2547;Toys
3;"U\ddd";ADVANCEOPERATINGSYSTEMS;up;true;61509;MASTERS;true;BUINESSANALYTICS;"12-1\d-\dd";"08-04-\dd";"06-07-\dd";"09-30-\dd";"09-1\d-\dd";60266;57908;true;97067342-8c60-477e-a54e-64645f4018fe;741ff8d9-5393-4fd2-bb75-e522b9e31c38;Cambridgeshire
4;"s\ddd";FSS;functionalities ability Gorgeous;true;63653;PHD;true;DATASCIENCE;"10-05-\dd";"01-30-\dd";"03-31-\dd";"01-03-\dd";"04-04-\dd";40990;36691;false;8b029acc-111a-4127-95b4-544bc3399b0b;1d2d50a3-211e-40e5-9999-b3a97ca40f2e;generate Human hacking
5;"K\ddd";DATASTRUCTURES;invoice parse;false;65771;BACHELORS;false;BUINESSANALYTICS;"11-08-\dd";"06-04-\dd";"10-1\d-\dd";"06-2\d-\dd";"01-30-\dd";89461;92881;true;7cdbcade-12fa-4562-b3ac-f3f5287f3b11;c4a79393-30fb-4db2-a8a9-0c0a826f4901;Intelligent
6;"X\ddd";ADVANCEOPERATINGSYSTEMS;bypassing logistical;true;42465;PHD;false;BUSINESSMANAGEMENT;"12-31-\dd";"08-2\d-\dd";"12-2\d-\dd";"12-1\d-\dd";"10-30-\dd";73929;43733;false;6b33bf99-d007-41ee-9a02-8977b0c752ea;adba1e77-35e7-40f9-8d88-a1b2c5a8319e;software withdrawal Customer
7;"G\ddd";FSS;vertical Stravenue Multi-layered;true;19011;MASTERS;false;DATASCIENCE;"02-2\d-\dd";"12-08-\dd";"08-1\d-\dd";"11-2\d-\dd";"11-07-\dd";59458;39571;false;0f1baec2-ae38-4465-ade8-19a4fb6e420e;359f2828-ad68-4b15-b9b8-afcc2541de52;infomediaries generating
8;"V\ddd";FSS;task-force Cotton;true;36167;MASTERS;false;DATASCIENCE;"12-30-\dd";"11-02-\dd";"10-31-\dd";"01-08-\dd";"06-2\d-\dd";53537;94724;false;6f03966c-f109-454d-9048-4729271ed85b;b3d63b46-f353-4806-891f-c47e5279b77c;Investment teal
9;"o\ddd";FSS;Division;false;97702;BACHELORS;false;DATASCIENCE;"08-30-\dd";"05-1\d-\dd";"06-2\d-\dd";"11-09-\dd";"12-02-\dd";4391;94635;false;0ebb8a0f-8462-41da-9c27-1f4aa9982831;b193093d-6e4f-4b05-b234-9de1f90d9f11;Metal
10;"Y\ddd";DATASTRUCTURES;transmitting;false;46808;BACHELORS;true;DATASCIENCE;"03-2\d-\dd";"12-30-\dd";"11-31-\dd";"09-1\d-\dd";"10-31-\dd";88396;69786;true;110af075-9732-4d6d-afaf-d83a74f618e7;385f93fe-4af7-4a74-baf0-0a98a7786c2d;Fantastic
