id;student_id;course_id;department_id;grade
1;844fc3b2-25e5-4901-b041-9890c787cca5;capacitor Shirt;88400;99453
2;8ef943c6-58b3-4a5a-b29c-cb8c72eec621;Account;59675;99368
3;f8fea653-b493-4463-9629-a0c961cc20dc;Gorgeous synthesize program;11411;772
4;1c145c17-a47a-4959-82bf-98932a75c7be;optimize Upgradable Frozen;9541;12821
5;8c87ca45-8c73-440e-989e-ae6d05f8a7b4;instruction;49681;14182
6;a7c2d85f-cc27-48c7-9a54-1d27b6a99273;scale purple;93036;1910
7;6388c36c-d9ac-4dd1-94cc-367176b9444f;world-class alarm Division;36321;76259
8;2d9ceee8-a567-41b3-9730-f4b89e9599fb;Fiji Legacy indigo;59185;90224
9;a7e65dee-3f40-4bca-93d7-ee96a9a490d7;Division;53354;48790
10;fd5d8b4d-fcde-4957-94ee-0abec1a54e27;Dale;20723;38676
